"title","tomatometer","audience_score","sentiment","num_reviews","url"
"The Spectacular Now | Rotten Tomatoes","92%","76%","0.7484631886084875","20","https://www.rottentomatoes.com/m/the_spectacular_now"
"Percy Jackson: Sea of Monsters | Rotten Tomatoes","42%","54%","-0.23774919658899307","20","https://www.rottentomatoes.com/m/percy_jackson_sea_of_monsters"
"Elysium | Rotten Tomatoes","N/A","45%","N/A","0","https://www.rottentomatoes.com/m/elysium"
"We're the Millers | Rotten Tomatoes","48%","77%","0.23313724746306738","20","https://www.rottentomatoes.com/m/were_the_millers"
"Planes | Rotten Tomatoes","26%","49%","-0.07021941741307576","20","https://www.rottentomatoes.com/m/planes"
"The Love Letter | Rotten Tomatoes","34%","39%","0.06964830468807903","15","https://www.rottentomatoes.com/m/the_love_letter"
"Open Grave | Rotten Tomatoes","19%","39%","-0.9868605732917786","4","https://www.rottentomatoes.com/m/open_grave"
"Paranoia | Rotten Tomatoes","N/A","N/A%","N/A","0","https://www.rottentomatoes.com/m/paranoia"
"Jobs | Rotten Tomatoes","27%","40%","-0.4091786320010821","20","https://www.rottentomatoes.com/m/jobs"
"The Gift | Rotten Tomatoes","N/A","N/A%","N/A","0","https://www.rottentomatoes.com/m/the_gift"
"The Mortal Instruments: City of Bones | Rotten Tomatoes","13%","58%","-0.6683859825134277","20","https://www.rottentomatoes.com/m/the_mortal_instruments_city_of_bones"
"Honeymoon | Rotten Tomatoes","N/A","8%","N/A","0","https://www.rottentomatoes.com/m/honeymoon"
"You're Next | Rotten Tomatoes","79%","60%","0.6538745785752932","20","https://www.rottentomatoes.com/m/youre_next"
"The Gauntlet | Rotten Tomatoes","75%","54%","0.04339335279332266","19","https://www.rottentomatoes.com/m/the_gauntlet"
"The Gauntlet | Rotten Tomatoes","75%","54%","-0.24087870866060257","8","https://www.rottentomatoes.com/m/gauntlet"
"Scenic Route | Rotten Tomatoes","65%","50%","0.16712375978628793","20","https://www.rottentomatoes.com/m/the_scenic_route"
"Scenic Route | Rotten Tomatoes","65%","50%","-0.24728409945964813","8","https://www.rottentomatoes.com/m/scenic_route"
"Short Term 12 (2013) | Rotten Tomatoes","98%","92%","0.7508034184575081","20","https://www.rottentomatoes.com/m/short_term_12"
"Drinking Buddies (2013) | Rotten Tomatoes","84%","49%","0.5717128987113634","20","https://www.rottentomatoes.com/m/drinking_buddies"
"The Human Factor | Rotten Tomatoes","33%","28%","0.9998074173927307","1","https://www.rottentomatoes.com/m/the_human_factor"
"The Human Factor | Rotten Tomatoes","33%","28%","0.1929835081100464","5","https://www.rottentomatoes.com/m/human_factor"
"Closed Circuit | Rotten Tomatoes","N/A","N/A%","N/A","0","https://www.rottentomatoes.com/m/closed_circuit"
"Getaway | Rotten Tomatoes","4%","35%","-0.7479184245069822","20","https://www.rottentomatoes.com/m/getaway"
"Some Girls | Rotten Tomatoes","43%","42%","-0.3315337101618449","3","https://www.rottentomatoes.com/m/some_girls"
"Soul | Rotten Tomatoes","95%","88%","0.5029522677262624","20","https://www.rottentomatoes.com/m/soul"
"Phobia | Rotten Tomatoes","N/A","23%","N/A","0","https://www.rottentomatoes.com/m/phobia"
"The Bride | Rotten Tomatoes","27%","33%","-0.9992420673370361","2","https://www.rottentomatoes.com/m/bride"
"The Nest | Rotten Tomatoes","N/A","N/A%","N/A","0","https://www.rottentomatoes.com/m/the_nest"
"The Contractor | Rotten Tomatoes","N/A","28%","N/A","0","https://www.rottentomatoes.com/m/contractor"
"Riddick | Rotten Tomatoes","58%","56%","-0.0726060966650645","20","https://www.rottentomatoes.com/m/riddick"
"Hostage | Rotten Tomatoes","N/A","N/A%","N/A","0","https://www.rottentomatoes.com/m/hostage"
"About Time | Rotten Tomatoes","71%","82%","0.012890741229057312","20","https://www.rottentomatoes.com/m/about_time"
"Taking Off | Rotten Tomatoes","100%","84%","0.9785241229193551","7","https://www.rottentomatoes.com/m/taking_off"
"Breakout | Rotten Tomatoes","N/A","N/A%","N/A","0","https://www.rottentomatoes.com/m/breakout"
"Extraction | Rotten Tomatoes","N/A","28%","N/A","0","https://www.rottentomatoes.com/m/extraction"
"Touchy Feely (2013) | Rotten Tomatoes","41%","22%","-0.24263015389442444","20","https://www.rottentomatoes.com/m/touchy_feely"
"Closer | Rotten Tomatoes","67%","81%","0.5931737472613653","20","https://www.rottentomatoes.com/m/closer"
"Hell Baby (2013) | Rotten Tomatoes","33%","27%","-0.32410840938488644","20","https://www.rottentomatoes.com/m/hell_baby"
"Bad Words | Rotten Tomatoes","65%","61%","-0.15966332952181497","20","https://www.rottentomatoes.com/m/bad_words"
"What If | Rotten Tomatoes","N/A","N/A%","N/A","0","https://www.rottentomatoes.com/m/what_if"
"Stay | Rotten Tomatoes","26%","69%","-0.5809283678730329","20","https://www.rottentomatoes.com/m/stay"
"Noah (2014) | Rotten Tomatoes","75%","41%","-0.08111527065436046","20","https://www.rottentomatoes.com/m/noah"
"All Is Bright (2013) | Rotten Tomatoes","48%","23%","0.15285032987594604","20","https://www.rottentomatoes.com/m/almost_christmas"
"The Informant | Rotten Tomatoes","N/A","43%","-0.9829961657524109","1","https://www.rottentomatoes.com/m/informant"
"Wolf | Rotten Tomatoes","N/A","N/A%","N/A","0","https://www.rottentomatoes.com/m/wolf"
"Colette | Rotten Tomatoes","N/A","N/A%","0.9997481107711792","2","https://www.rottentomatoes.com/m/colette"
"Machete Kills | Rotten Tomatoes","29%","35%","-0.7449744865298271","20","https://www.rottentomatoes.com/m/machete_kills"
"Insidious: Chapter 2 | Rotten Tomatoes","38%","57%","-0.4941001857320468","20","https://www.rottentomatoes.com/m/insidious_chapter_2"
"Don Jon | Rotten Tomatoes","80%","58%","0.25091785937547684","20","https://www.rottentomatoes.com/m/don_jon"
"Panic | Rotten Tomatoes","N/A","N/A%","N/A","0","https://www.rottentomatoes.com/m/panic"
"Unforgiven | Rotten Tomatoes","N/A","N/A%","N/A","0","https://www.rottentomatoes.com/m/unforgiven"
"Dick Figures: The Movie | Rotten Tomatoes","N/A","83%","N/A","0","https://www.rottentomatoes.com/m/dick_figures_the_movie"
"Enough Said (2013) | Rotten Tomatoes","95%","75%","0.9149487316608429","20","https://www.rottentomatoes.com/m/enough_said"
"Prisoners | Rotten Tomatoes","N/A","N/A%","N/A","0","https://www.rottentomatoes.com/m/prisoners"
"Cold Comes the Night (2013) | Rotten Tomatoes","43%","29%","-0.2346444899837176","20","https://www.rottentomatoes.com/m/cold_comes_the_night"
"September | Rotten Tomatoes","N/A","N/A%","N/A","0","https://www.rottentomatoes.com/m/september"
"Nebraska | Rotten Tomatoes","90%","83%","0.29067796220382053","20","https://www.rottentomatoes.com/m/nebraska"
"Battle of the Year | Rotten Tomatoes","6%","49%","-0.7182264576355616","20","https://www.rottentomatoes.com/m/battle_of_the_year"
"Runner Runner | Rotten Tomatoes","8%","33%","-0.7360027730464935","20","https://www.rottentomatoes.com/m/runner_runner"
"Metallica: Through the Never | Rotten Tomatoes","82%","74%","-0.00136663019657135","20","https://www.rottentomatoes.com/m/metallica_through_the_never"
"The Turning | Rotten Tomatoes","86%","53%","0.33335875471433","6","https://www.rottentomatoes.com/m/the_turning"
"The Turning | Rotten Tomatoes","N/A","0%","N/A","0","https://www.rottentomatoes.com/m/turning"
"The Gambler | Rotten Tomatoes","N/A","N/A%","N/A","0","https://www.rottentomatoes.com/m/the_gambler"
"Cloudy With a Chance of Meatballs 2 (2013) | Rotten Tomatoes","71%","66%","0.176988385617733","20","https://www.rottentomatoes.com/m/cloudy_with_a_chance_of_meatballs_2"
"Baggage Claim | Rotten Tomatoes","16%","48%","-0.5553411220510801","20","https://www.rottentomatoes.com/m/baggage_claim"
"Dreamland | Rotten Tomatoes","N/A","22%","N/A","0","https://www.rottentomatoes.com/m/dreamland"
"Wonder Woman | Rotten Tomatoes","85%","78%","-0.9545947313308716","1","https://www.rottentomatoes.com/m/wonder_woman"
"Amy | Rotten Tomatoes","N/A","75%","N/A","0","https://www.rottentomatoes.com/m/amy"
"Gift | Rotten Tomatoes","100%","89%","0.5492902040481568","5","https://www.rottentomatoes.com/m/gift"
"Malignant | Rotten Tomatoes","N/A","40%","N/A","0","https://www.rottentomatoes.com/m/malignant"
"Grace Unplugged | Rotten Tomatoes","57%","78%","-0.0018012821674346924","4","https://www.rottentomatoes.com/m/grace_unplugged"
"Muhammad Ali's Greatest Fight | Rotten Tomatoes","38%","70%","0.33244115114212036","6","https://www.rottentomatoes.com/m/muhammad_alis_greatest_fight"
"Once Upon a Forest | Rotten Tomatoes","22%","69%","-0.5085834488272667","12","https://www.rottentomatoes.com/m/once_upon_a_forest"
"Godsend | Rotten Tomatoes","3%","20%","-0.6660516560077667","20","https://www.rottentomatoes.com/m/godsend"
"The Verdict | Rotten Tomatoes","N/A","N/A%","N/A","0","https://www.rottentomatoes.com/m/the_verdict"
"The Verdict | Rotten Tomatoes","88%","88%","0.529004093259573","11","https://www.rottentomatoes.com/m/verdict"
"Escape Plan | Rotten Tomatoes","50%","55%","-0.21725048124790192","20","https://www.rottentomatoes.com/m/escape_plan"
"Sweetwater | Rotten Tomatoes","26%","95%","-0.5861726641654968","5","https://www.rottentomatoes.com/m/sweetwater"
"Captain Phillips | Rotten Tomatoes","93%","89%","0.7878542542457581","20","https://www.rottentomatoes.com/m/captain_phillips"
"Delivery Man | Rotten Tomatoes","40%","47%","-0.1621274674932162","20","https://www.rottentomatoes.com/m/delivery_man"
"The Fifth Estate | Rotten Tomatoes","35%","36%","-0.664521743853887","20","https://www.rottentomatoes.com/m/the_fifth_estate"
"Amsterdam | Rotten Tomatoes","N/A","19%","N/A","0","https://www.rottentomatoes.com/m/amsterdam"
"Made in America | Rotten Tomatoes","N/A","N/A%","N/A","0","https://www.rottentomatoes.com/m/made_in_america"
"Anna | Rotten Tomatoes","N/A","N/A%","N/A","0","https://www.rottentomatoes.com/m/anna"
"The Kill Team | Rotten Tomatoes","91%","73%","0.4880942950646083","20","https://www.rottentomatoes.com/m/the_kill_team"
"Patrick (2019) | Rotten Tomatoes","40%","N/A%","-0.19960954189300537","5","https://www.rottentomatoes.com/m/patrick"
"She's the One | Rotten Tomatoes","63%","41%","0.40586381778120995","13","https://www.rottentomatoes.com/m/shes_the_one"
"Carrie | Rotten Tomatoes","51%","44%","-0.2664211069544156","20","https://www.rottentomatoes.com/m/carrie"
"Boss | Rotten Tomatoes","N/A","N/A%","N/A","0","https://www.rottentomatoes.com/m/boss"
"Gimme Shelter | Rotten Tomatoes","93%","91%","0.35691670576731366","3","https://www.rottentomatoes.com/m/gimme_shelter"
"Tarzan | Rotten Tomatoes","90%","75%","0.5865960866212845","20","https://www.rottentomatoes.com/m/tarzan"
"Inside Llewyn Davis (2013) | Rotten Tomatoes","92%","74%","0.5802586128314337","20","https://www.rottentomatoes.com/m/inside_llewyn_davis"
"I'm in Love With a Church Girl | Rotten Tomatoes","10%","64%","-0.872271467000246","10","https://www.rottentomatoes.com/m/im_in_love_with_a_church_girl"
"12 Years a Slave | Rotten Tomatoes","95%","90%","0.74772876004378","20","https://www.rottentomatoes.com/m/12_years_a_slave"
"Keeping Up With the Joneses | Rotten Tomatoes","20%","37%","-0.5671272203326225","20","https://www.rottentomatoes.com/m/keeping_up_with_the_joneses"
"Jackass Presents: Bad Grandpa | Rotten Tomatoes","61%","60%","0.3308815583586693","20","https://www.rottentomatoes.com/m/jackass_presents_bad_grandpa"
"Ender's Game | Rotten Tomatoes","63%","65%","0.45483587433894473","20","https://www.rottentomatoes.com/m/enders_game"
"Crossroads | Rotten Tomatoes","N/A","N/A%","N/A","0","https://www.rottentomatoes.com/m/crossroads"
"The Counselor (2013) | Rotten Tomatoes","34%","24%","-0.25025999297698337","20","https://www.rottentomatoes.com/m/the_counselor"
"The Queen | Rotten Tomatoes","97%","76%","0.9976975818475088","20","https://www.rottentomatoes.com/m/the_queen"
"War of the Worlds | Rotten Tomatoes","76%","42%","0.5061238805452982","20","https://www.rottentomatoes.com/m/war_of_the_worlds"
"Free Birds | Rotten Tomatoes","N/A","N/A%","N/A","0","https://www.rottentomatoes.com/m/free_birds"
"Thor: The Dark World | Rotten Tomatoes","67%","74%","0.160366324086984","20","https://www.rottentomatoes.com/m/thor_the_dark_world"
"Last Vegas (2013) | Rotten Tomatoes","45%","59%","-0.38325605789820355","20","https://www.rottentomatoes.com/m/last_vegas"
"Dallas Buyers Club | Rotten Tomatoes","92%","91%","0.501475547750791","20","https://www.rottentomatoes.com/m/dallas_buyers_club"
"Philomena | Rotten Tomatoes","91%","89%","0.6725791692733765","20","https://www.rottentomatoes.com/m/philomena"
"Lipstick | Rotten Tomatoes","18%","34%","-0.9561534523963928","2","https://www.rottentomatoes.com/m/lipstick"
"The Book Thief | Rotten Tomatoes","50%","73%","-0.08216858406861623","20","https://www.rottentomatoes.com/m/the_book_thief"
"Naked | Rotten Tomatoes","N/A","60%","0.9997941851615906","1","https://www.rottentomatoes.com/m/naked"
"Vendetta | Rotten Tomatoes","N/A","N/A%","N/A","0","https://www.rottentomatoes.com/m/vendetta"
"Unidentified | Rotten Tomatoes","N/A","54%","N/A","0","https://www.rottentomatoes.com/m/unidentified"
"Roommate | Rotten Tomatoes","N/A","N/A%","N/A","0","https://www.rottentomatoes.com/m/roommate"
"Reckless | Rotten Tomatoes","N/A","44%","N/A","0","https://www.rottentomatoes.com/m/reckless"
"Homefront | Rotten Tomatoes","42%","61%","-0.3022939811150233","20","https://www.rottentomatoes.com/m/homefront"
"Out of the Furnace | Rotten Tomatoes","53%","52%","-0.2753615876038869","20","https://www.rottentomatoes.com/m/out_of_the_furnace"
"Oldboy | Rotten Tomatoes","82%","94%","0.33558102945486706","20","https://www.rottentomatoes.com/m/oldboy"
"Tattoo | Rotten Tomatoes","N/A","N/A%","N/A","0","https://www.rottentomatoes.com/m/tattoo"
"The Best Man Holiday (2013) | Rotten Tomatoes","71%","83%","0.41557221362988156","20","https://www.rottentomatoes.com/m/the_best_man_holiday"
"The Best Man Holiday (2013) | Rotten Tomatoes","71%","83%","0.41557221362988156","20","https://www.rottentomatoes.com/m/best_man_holiday"
"The Hunger Games: Catching Fire | Rotten Tomatoes","90%","89%","0.5743485614657402","20","https://www.rottentomatoes.com/m/the_hunger_games_catching_fire"
"The Christmas Candle (2013) | Rotten Tomatoes","22%","74%","-0.23329931994279227","20","https://www.rottentomatoes.com/m/the_christmas_candle"
"Black Nativity | Rotten Tomatoes","51%","51%","-0.08278818180163701","20","https://www.rottentomatoes.com/m/black_nativity"
"Saving Mr. Banks (2013) | Rotten Tomatoes","79%","84%","0.601956178744634","20","https://www.rottentomatoes.com/m/saving_mr_banks"
"Non-Stop | Rotten Tomatoes","67%","75%","0.12059118918010167","7","https://www.rottentomatoes.com/m/nonstop"
"American Hustle | Rotten Tomatoes","92%","74%","0.4913950165112813","20","https://www.rottentomatoes.com/m/american_hustle"
"Crave | Rotten Tomatoes","N/A","N/A%","N/A","0","https://www.rottentomatoes.com/m/crave"
"Gus | Rotten Tomatoes","N/A","56%","0.0006296336650848389","2","https://www.rottentomatoes.com/m/gus"
"47 Ronin (2013) | Rotten Tomatoes","16%","48%","-0.6624721139669418","20","https://www.rottentomatoes.com/m/47_ronin"
"The Hobbit: The Desolation of Smaug | Rotten Tomatoes","74%","85%","0.3428626209497452","20","https://www.rottentomatoes.com/m/the_hobbit_the_desolation_of_smaug"
"All I Want for Christmas | Rotten Tomatoes","N/A","N/A%","N/A","0","https://www.rottentomatoes.com/m/all_i_want_for_christmas"
"The Secret Life of Walter Mitty (2013) | Rotten Tomatoes","52%","71%","0.3340218861897786","20","https://www.rottentomatoes.com/m/the_secret_life_of_walter_mitty"
"The Secret Life of Walter Mitty | Rotten Tomatoes","75%","80%","0.9944662898778915","4","https://www.rottentomatoes.com/m/secret_life_of_walter_mitty"
"Her | Rotten Tomatoes","95%","82%","0.599197822312514","20","https://www.rottentomatoes.com/m/her"
"Anchorman 2: The Legend Continues | Rotten Tomatoes","74%","52%","-0.06514521439870198","20","https://www.rottentomatoes.com/m/anchorman_2_the_legend_continues"
"Walking With Dinosaurs | Rotten Tomatoes","N/A","N/A%","N/A","0","https://www.rottentomatoes.com/m/walking_with_dinosaurs"
"The Underneath | Rotten Tomatoes","N/A","N/A%","N/A","0","https://www.rottentomatoes.com/m/the_underneath"
"The Underneath | Rotten Tomatoes","63%","40%","-0.37394315376877785","9","https://www.rottentomatoes.com/m/underneath"
"Tracks | Rotten Tomatoes","N/A","43%","N/A","0","https://www.rottentomatoes.com/m/tracks"
"Mountains of the Moon | Rotten Tomatoes","67%","77%","-0.09433214366436005","4","https://www.rottentomatoes.com/m/mountains_of_the_moon"
"Lone Survivor | Rotten Tomatoes","75%","87%","0.4276911715666453","20","https://www.rottentomatoes.com/m/lone_survivor"
"Buddy | Rotten Tomatoes","N/A","80%","N/A","0","https://www.rottentomatoes.com/m/buddy"
"The Wolf of Wall Street | Rotten Tomatoes","63%","N/A%","0.33371512095133465","3","https://www.rottentomatoes.com/m/the_wolf_of_wall_street"
"Grudge Match | Rotten Tomatoes","31%","46%","0.2512777199347814","20","https://www.rottentomatoes.com/m/grudge_match"
"August: Osage County | Rotten Tomatoes","67%","65%","-0.14590934167305628","20","https://www.rottentomatoes.com/m/august_osage_county"
"Labor Day | Rotten Tomatoes","N/A","N/A%","N/A","0","https://www.rottentomatoes.com/m/labor_day"
"Man | Rotten Tomatoes","N/A","N/A%","N/A","0","https://www.rottentomatoes.com/m/man"
"Paranormal Activity: The Marked Ones | Rotten Tomatoes","40%","34%","-0.3939291636149089","20","https://www.rottentomatoes.com/m/paranormal_activity_the_marked_ones"
"Jamesy Boy | Rotten Tomatoes","26%","59%","-0.6657762030760447","6","https://www.rottentomatoes.com/m/jamesy_boy"
"Back in the Day | Rotten Tomatoes","11%","47%","-0.9983629484971365","6","https://www.rottentomatoes.com/m/back_in_the_day"
"Ride Along (2014) | Rotten Tomatoes","18%","58%","-0.38293079286813736","20","https://www.rottentomatoes.com/m/ride_along"
"Devil's Due | Rotten Tomatoes","21%","21%","-0.4385840586490101","19","https://www.rottentomatoes.com/m/devils_due"
"Boys | Rotten Tomatoes","100%","84%","0.6758635838826498","6","https://www.rottentomatoes.com/m/boys"
"Dumbbells | Rotten Tomatoes","14%","59%","-0.002890119949976603","6","https://www.rottentomatoes.com/m/dumbbells"
"The Legend of Hercules | Rotten Tomatoes","5%","33%","-0.7438165297110876","20","https://www.rottentomatoes.com/m/the_legend_of_hercules"
"Jack Ryan: Shadow Recruit | Rotten Tomatoes","55%","52%","-0.16315558552742004","20","https://www.rottentomatoes.com/m/jack_ryan_shadow_recruit"
"The Nut Job | Rotten Tomatoes","13%","43%","-0.684470164279143","20","https://www.rottentomatoes.com/m/the_nut_job"
"Love Child | Rotten Tomatoes","N/A","40%","N/A","0","https://www.rottentomatoes.com/m/love_child"
"Flowers in the Attic | Rotten Tomatoes","18%","50%","-0.9914546012878418","1","https://www.rottentomatoes.com/m/flowers_in_the_attic"
"The Better Angels | Rotten Tomatoes","44%","43%","-0.25182273735602695","20","https://www.rottentomatoes.com/m/the_better_angels"
"The Voices | Rotten Tomatoes","74%","58%","-0.1093233972787857","20","https://www.rottentomatoes.com/m/the_voices"
"Song One | Rotten Tomatoes","34%","29%","0.02198989937702815","20","https://www.rottentomatoes.com/m/song_one"
"I, Frankenstein | Rotten Tomatoes","5%","38%","-0.7566834166646004","20","https://www.rottentomatoes.com/m/i_frankenstein"
"Champions | Rotten Tomatoes","N/A","74%","N/A","0","https://www.rottentomatoes.com/m/champions"
"The Monuments Men | Rotten Tomatoes","30%","44%","-0.5743059640129408","20","https://www.rottentomatoes.com/m/the_monuments_men"
"The Monuments Men | Rotten Tomatoes","30%","44%","-0.22981643180052438","20","https://www.rottentomatoes.com/m/monuments_men"
"That Awkward Moment | Rotten Tomatoes","23%","46%","-0.4748219723502795","20","https://www.rottentomatoes.com/m/that_awkward_moment"
"RoboCop | Rotten Tomatoes","50%","49%","-0.09622008850177129","20","https://www.rottentomatoes.com/m/robocop"
"Resurrection | Rotten Tomatoes","N/A","N/A%","N/A","0","https://www.rottentomatoes.com/m/resurrection"
"Barefoot | Rotten Tomatoes","N/A","84%","N/A","0","https://www.rottentomatoes.com/m/barefoot"
"The LEGO Movie | Rotten Tomatoes","96%","87%","0.6093096137046814","20","https://www.rottentomatoes.com/m/the_lego_movie"
"The Cure | Rotten Tomatoes","N/A","80%","N/A","0","https://www.rottentomatoes.com/m/the_cure"
"Brokeback Mountain | Rotten Tomatoes","88%","82%","0.9141486311952273","20","https://www.rottentomatoes.com/m/brokeback_mountain"
"Mr. Peabody & Sherman | Rotten Tomatoes","81%","73%","0.5002442225813866","20","https://www.rottentomatoes.com/m/mr_peabody_and_sherman"
"Vampire Academy | Rotten Tomatoes","18%","56%","-0.23476069420576096","18","https://www.rottentomatoes.com/m/vampire_academy"
"Someone Marry Barry | Rotten Tomatoes","20%","45%","-0.3313085635503133","3","https://www.rottentomatoes.com/m/someone_marry_barry"
"The Pretty One (2013) | Rotten Tomatoes","50%","46%","4.2090813318888344e-05","20","https://www.rottentomatoes.com/m/the_pretty_one"
"Wonder | Rotten Tomatoes","86%","88%","0.6663637484113375","20","https://www.rottentomatoes.com/m/wonder"
"Violet | Rotten Tomatoes","N/A","N/A%","N/A","0","https://www.rottentomatoes.com/m/violet"
"Parasite | Rotten Tomatoes","N/A","N/A%","N/A","0","https://www.rottentomatoes.com/m/parasite"
"Endless Love | Rotten Tomatoes","26%","50%","-0.5976806879043579","5","https://www.rottentomatoes.com/m/endless_love"
"Timeline | Rotten Tomatoes","13%","45%","-0.6582992300391197","20","https://www.rottentomatoes.com/m/timeline"
"Adult World (2013) | Rotten Tomatoes","53%","38%","0.25496359417835873","20","https://www.rottentomatoes.com/m/adult_world"
"Date and Switch | Rotten Tomatoes","30%","38%","0.0016180674235026042","6","https://www.rottentomatoes.com/m/date_and_switch"
"Camp Takota | Rotten Tomatoes","N/A","67%","N/A","0","https://www.rottentomatoes.com/m/camp_takota"
"3 Days to Kill | Rotten Tomatoes","27%","43%","-0.2636878664294879","20","https://www.rottentomatoes.com/m/3_days_to_kill"
"Apocalypse Pompeii | Rotten Tomatoes","N/A","6%","N/A","0","https://www.rottentomatoes.com/m/apocalypse_pompeii"
"Angels in Stardust | Rotten Tomatoes","22%","37%","-0.5932344198226929","5","https://www.rottentomatoes.com/m/angels_in_stardust"
"Q | Rotten Tomatoes","72%","43%","0.4274988259587969","7","https://www.rottentomatoes.com/m/q"
"Che | Rotten Tomatoes","N/A","N/A%","N/A","0","https://www.rottentomatoes.com/m/che"
"The Grand Budapest Hotel | Rotten Tomatoes","92%","87%","0.766594278315703","20","https://www.rottentomatoes.com/m/the_grand_budapest_hotel"
"Spiral | Rotten Tomatoes","N/A","N/A%","N/A","0","https://www.rottentomatoes.com/m/spiral"
"Son of God (2014) | Rotten Tomatoes","17%","73%","-0.5705525552233061","20","https://www.rottentomatoes.com/m/son_of_god"
"The Bag Man | Rotten Tomatoes","11%","22%","-0.8310074185331663","17","https://www.rottentomatoes.com/m/the_bag_man"
"300: Rise of an Empire | Rotten Tomatoes","45%","51%","0.07143431901931763","20","https://www.rottentomatoes.com/m/300_rise_of_an_empire"
"Fair Play | Rotten Tomatoes","N/A","27%","0.9995567202568054","2","https://www.rottentomatoes.com/m/fair_play"
"Faults | Rotten Tomatoes","92%","69%","0.6920372160772483","14","https://www.rottentomatoes.com/m/faults"
"Queen | Rotten Tomatoes","92%","85%","0.3391733169555664","3","https://www.rottentomatoes.com/m/queen"
"Relentless | Rotten Tomatoes","50%","33%","N/A","0","https://www.rottentomatoes.com/m/relentless"
"The Trip to Bountiful | Rotten Tomatoes","100%","85%","0.9726589620113373","6","https://www.rottentomatoes.com/m/the_trip_to_bountiful"
"The Trip to Bountiful | Rotten Tomatoes","100%","85%","0.9892110824584961","2","https://www.rottentomatoes.com/m/trip_to_bountiful"
"Need for Speed | Rotten Tomatoes","23%","56%","-0.41826298584540683","20","https://www.rottentomatoes.com/m/need_for_speed"
"Leave the World Behind | Rotten Tomatoes","67%","72%","-0.30878233909606934","3","https://www.rottentomatoes.com/m/leave_the_world_behind"
"Veronica Mars | Rotten Tomatoes","80%","78%","0.48792507996161777","20","https://www.rottentomatoes.com/m/veronica_mars"
"Monster | Rotten Tomatoes","81%","81%","0.25059545288483304","20","https://www.rottentomatoes.com/m/monster"
"Better Living Through Chemistry | Rotten Tomatoes","24%","38%","-0.3994579600791136","14","https://www.rottentomatoes.com/m/better_living_through_chemistry"
"Only You | Rotten Tomatoes","56%","68%","0.22370800375938416","16","https://www.rottentomatoes.com/m/only_you"
"Divergent | Rotten Tomatoes","41%","69%","0.08937070022026698","20","https://www.rottentomatoes.com/m/divergent"
"Tommy | Rotten Tomatoes","N/A","N/A%","N/A","0","https://www.rottentomatoes.com/m/tommy"
"The Signal | Rotten Tomatoes","N/A","N/A%","N/A","0","https://www.rottentomatoes.com/m/the_signal"
"The Signal | Rotten Tomatoes","59%","58%","0.49775924285252887","20","https://www.rottentomatoes.com/m/signal"
"Factory Girl | Rotten Tomatoes","21%","60%","-0.3643086651961009","20","https://www.rottentomatoes.com/m/factory_girl"
"Rio 2 | Rotten Tomatoes","50%","58%","0.23316356043020883","20","https://www.rottentomatoes.com/m/rio_2"
"Muppets Most Wanted | Rotten Tomatoes","80%","59%","-0.39532585193713504","20","https://www.rottentomatoes.com/m/muppets_most_wanted"
"Captain America: The Winter Soldier (2014) | Rotten Tomatoes","90%","92%","0.6609901785850525","20","https://www.rottentomatoes.com/m/captain_america_the_winter_soldier"
"50 to 1 | Rotten Tomatoes","29%","71%","-0.9973687926928202","3","https://www.rottentomatoes.com/m/50_to_1"
"God's Not Dead | Rotten Tomatoes","13%","75%","-0.6646194458007812","6","https://www.rottentomatoes.com/m/gods_not_dead"
"Moms' Night Out | Rotten Tomatoes","21%","66%","-0.4513828953107198","19","https://www.rottentomatoes.com/m/moms_night_out"
"Legend | Rotten Tomatoes","43%","73%","-0.08079089721043904","20","https://www.rottentomatoes.com/m/legend"
"Bad Hair | Rotten Tomatoes","95%","69%","0.5746200506885847","20","https://www.rottentomatoes.com/m/bad_hair"
"Accused | Rotten Tomatoes","100%","N/A%","0.18958863615989685","2","https://www.rottentomatoes.com/m/accused"
"Stage Fright | Rotten Tomatoes","N/A","N/A%","N/A","0","https://www.rottentomatoes.com/m/stage_fright"
"Alien Abduction | Rotten Tomatoes","N/A","N/A%","N/A","0","https://www.rottentomatoes.com/m/alien_abduction"
"Jinn (2014) | Rotten Tomatoes","18%","31%","-0.5247633817295234","11","https://www.rottentomatoes.com/m/jinn"
"Little Accidents | Rotten Tomatoes","N/A","N/A%","N/A","0","https://www.rottentomatoes.com/m/little_accidents"
"The Adventurers | Rotten Tomatoes","N/A","42%","N/A","0","https://www.rottentomatoes.com/m/the_adventurers"
"Joe | Rotten Tomatoes","83%","63%","0.9561319053173065","2","https://www.rottentomatoes.com/m/joe"
"Draft Day | Rotten Tomatoes","60%","65%","0.09326356649398804","20","https://www.rottentomatoes.com/m/draft_day"
"13 Sins | Rotten Tomatoes","65%","45%","0.16920020058751106","14","https://www.rottentomatoes.com/m/13_sins"
"Grind | Rotten Tomatoes","N/A","72%","N/A","0","https://www.rottentomatoes.com/m/grind"
"The Maid | Rotten Tomatoes","N/A","N/A%","N/A","0","https://www.rottentomatoes.com/m/the_maid"
"Road to Paloma | Rotten Tomatoes","54%","54%","0.6609051823616028","6","https://www.rottentomatoes.com/m/road_to_paloma"
"The Formula | Rotten Tomatoes","N/A","15%","N/A","0","https://www.rottentomatoes.com/m/the_formula"
"The Formula | Rotten Tomatoes","20%","23%","-0.9997230966885885","3","https://www.rottentomatoes.com/m/formula"
